target_pref_name,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,standard_value_transformed
SARS coronavirus 3C-like proteinase,CHEMBL210146,COc1cccc(-c2nc(SCC(=O)Nc3ccc([N+](=O)[O-])cc3)nc(O)c2C#N)c1,inactive,437.4370000000002,3.3684800000000017,2.0,9.0,3.520000002933981
SARS coronavirus 3C-like proteinase,CHEMBL210146,COc1cccc(-c2nc(SCC(=O)Nc3ccc([N+](=O)[O-])cc3)nc(O)c2C#N)c1,inactive,437.4370000000002,3.3684800000000017,2.0,9.0,3.5228787452803374
SARS coronavirus 3C-like proteinase,CHEMBL207458,CCOC(=O)c1cnc(SCC(=O)Nc2ccc([N+](=O)[O-])cc2)nc1N,inactive,377.3820000000001,1.8745,2.0,9.0,3.6000000054478725
SARS coronavirus 3C-like proteinase,CHEMBL207458,CCOC(=O)c1cnc(SCC(=O)Nc2ccc([N+](=O)[O-])cc2)nc1N,inactive,377.3820000000001,1.8745,2.0,9.0,3.6020599913279625
SARS coronavirus 3C-like proteinase,CHEMBL207484,COC(OC)c1cc(O)nc(SCC(=O)Nc2ccc(C(F)(F)F)cc2)n1,inactive,403.38200000000006,3.223200000000001,2.0,7.0,3.690000009501577
SARS coronavirus 3C-like proteinase,CHEMBL207484,COC(OC)c1cc(O)nc(SCC(=O)Nc2ccc(C(F)(F)F)cc2)n1,inactive,403.38200000000006,3.223200000000001,2.0,7.0,3.6989700043360183
SARS coronavirus 3C-like proteinase,CHEMBL207207,Cc1cc(O)nc(SCC(=O)Nc2cc(Cl)ccc2Oc2ccccc2)n1,inactive,401.8750000000001,4.667120000000002,2.0,6.0,4.0
SARS coronavirus 3C-like proteinase,CHEMBL207207,Cc1cc(O)nc(SCC(=O)Nc2cc(Cl)ccc2Oc2ccccc2)n1,inactive,401.8750000000001,4.667120000000002,2.0,6.0,4.0
SARS coronavirus 3C-like proteinase,CHEMBL210487,CCC(Sc1nc(O)c(C#N)c(-c2cccc(OC)c2)n1)C(=O)Nc1ccc(C(C)=O)cc1,inactive,462.5310000000002,4.441480000000004,2.0,8.0,4.219999989963101
SARS coronavirus 3C-like proteinase,CHEMBL210487,CCC(Sc1nc(O)c(C#N)c(-c2cccc(OC)c2)n1)C(=O)Nc1ccc(C(C)=O)cc1,inactive,462.5310000000002,4.441480000000004,2.0,8.0,4.221848749616356
SARS coronavirus 3C-like proteinase,CHEMBL380470,COc1ccc(NC(=O)CSc2nc(O)cc(-c3ccccc3)n2)cc1OC,inactive,397.4560000000001,3.5972000000000017,2.0,7.0,4.339999990132752
SARS coronavirus 3C-like proteinase,CHEMBL380470,COc1ccc(NC(=O)CSc2nc(O)cc(-c3ccccc3)n2)cc1OC,inactive,397.4560000000001,3.5972000000000017,2.0,7.0,4.346787486224656
