target_pref_name,molecule_chembl_id,canonical_smiles,pIC50
SARS coronavirus 3C-like proteinase,CHEMBL426898,O=C(Oc1cncc(Cl)c1)c1cc2ccccc2o1,6.769551079
SARS coronavirus 3C-like proteinase,CHEMBL187266,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(C)C,4.050122296
SARS coronavirus 3C-like proteinase,CHEMBL215254,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(C)CO,4.605548319
SARS coronavirus 3C-like proteinase,CHEMBL2146517,COC(=O)[C@@]1(C)CCCc2c1ccc1c2C(=O)C(=O)c2c(C)coc2-1,4.675717545
SARS coronavirus 3C-like proteinase,CHEMBL187460,C[C@H]1COC2=C1C(=O)C(=O)c1c2ccc2c1CCCC2(C)C,3.64454848
SARS coronavirus 3C-like proteinase,CHEMBL363535,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c(C)cccc12,4.412289035
SARS coronavirus 3C-like proteinase,CHEMBL227075,Cc1cccc2c3c(ccc12)C1=C(C(=O)C3=O)[C@@H](C)CO1,4.841637508
SARS coronavirus 3C-like proteinase,CHEMBL45830,CC(C)C1=Cc2ccc3c(c2C(=O)C1=O)CCCC3(C)C,4.675717545
SARS coronavirus 3C-like proteinase,CHEMBL187266,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(C)C,5.795880017
SARS coronavirus 3C-like proteinase,CHEMBL215254,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(C)CO,4.970616222
SARS coronavirus 3C-like proteinase,CHEMBL2146517,COC(=O)[C@@]1(C)CCCc2c1ccc1c2C(=O)C(=O)c2c(C)coc2-1,5.036212173
SARS coronavirus 3C-like proteinase,CHEMBL187460,C[C@H]1COC2=C1C(=O)C(=O)c1c2ccc2c1CCCC2(C)C,6.096910013
SARS coronavirus 3C-like proteinase,CHEMBL363535,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c(C)cccc12,5.055517328
SARS coronavirus 3C-like proteinase,CHEMBL227075,Cc1cccc2c3c(ccc12)C1=C(C(=O)C3=O)[C@@H](C)CO1,5.30980392
SARS coronavirus 3C-like proteinase,CHEMBL45830,CC(C)C1=Cc2ccc3c(c2C(=O)C1=O)CCCC3(C)C,4.522878745
SARS coronavirus 3C-like proteinase,CHEMBL215254,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(C)CO,4.283996656
SARS coronavirus 3C-like proteinase,CHEMBL187460,C[C@H]1COC2=C1C(=O)C(=O)c1c2ccc2c1CCCC2(C)C,4.057495894
SARS coronavirus 3C-like proteinase,CHEMBL363535,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c(C)cccc12,6.15490196
SARS coronavirus 3C-like proteinase,CHEMBL227075,Cc1cccc2c3c(ccc12)C1=C(C(=O)C3=O)[C@@H](C)CO1,5.920818754
SARS coronavirus 3C-like proteinase,CHEMBL45830,CC(C)C1=Cc2ccc3c(c2C(=O)C1=O)CCCC3(C)C,4.220403509
SARS coronavirus 3C-like proteinase,CHEMBL187266,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(C)C,4.76700389
SARS coronavirus 3C-like proteinase,CHEMBL215254,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(C)CO,4.744727495
SARS coronavirus 3C-like proteinase,CHEMBL2146517,COC(=O)[C@@]1(C)CCCc2c1ccc1c2C(=O)C(=O)c2c(C)coc2-1,4.974694135
SARS coronavirus 3C-like proteinase,CHEMBL187460,C[C@H]1COC2=C1C(=O)C(=O)c1c2ccc2c1CCCC2(C)C,4.995678626
SARS coronavirus 3C-like proteinase,CHEMBL363535,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c(C)cccc12,4.93930216
SARS coronavirus 3C-like proteinase,CHEMBL227075,Cc1cccc2c3c(ccc12)C1=C(C(=O)C3=O)[C@@H](C)CO1,4.970616222
SARS coronavirus 3C-like proteinase,CHEMBL45830,CC(C)C1=Cc2ccc3c(c2C(=O)C1=O)CCCC3(C)C,4.102922997
Replicase polyprotein 1ab,CHEMBL194398,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H](CC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C)Cc1ccccc1,3.060480747
Replicase polyprotein 1ab,CHEMBL393608,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C,3.698970004
Replicase polyprotein 1ab,CHEMBL238216,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C,3.522878745
